"id","parent","value","color","share"
"Additive manufacturing","Digital transition",7,"blue",0.17
"Artificial intelligence","Digital transition",432,"blue",10.6
"Augmented reality","Digital transition",847,"blue",20.79
"Autonomous robots","Digital transition",17,"blue",0.42
"Autonomous vehicles","Digital transition",390,"blue",9.57
"Blockchain","Digital transition",109,"blue",2.67
"Cloud computing","Digital transition",386,"blue",9.47
"Cybersecurity","Digital transition",509,"blue",12.49
"Internet of things","Digital transition",604,"blue",14.82
"Nanotechnology","Digital transition",202,"blue",4.96
"Quantum computers","Digital transition",548,"blue",13.45
"Smart grids","Digital transition",24,"blue",0.59
